"2 funded?","Category","Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"FALSE","Cardano Use Cases: Partners & Products","Ledger Live DRep Delegation Support","351","₳119,347,438","₳28,933,782","YES","₳260,000","FUNDED","₳1,779,420",""
"FALSE","Cardano Use Cases: Partners & Products","Japanese government funded: AI chat platform with Fujitsu","390","₳117,276,301","₳39,534,431","YES","₳600,000","FUNDED","₳1,179,420",""
"FALSE","Cardano Use Cases: Partners & Products","Stable + Cardano: fast and feeless USDT interopability","373","₳116,128,252","₳25,762,674","YES","₳300,000","FUNDED","₳879,420",""
"FALSE","Cardano Use Cases: Partners & Products","Onchain analytics for the Cardano ecosystem","249","₳116,107,515","₳29,131,421","YES","₳406,666","FUNDED","₳472,754",""
"FALSE","Cardano Use Cases: Partners & Products","Strike Finance <> Bodega Market: Predection Market Perps","301","₳97,342,190","₳29,270,331","YES","₳506,000","NOT FUNDED","₳472,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Cardano Institutional UX Stack: Compliance & BTC-Ready DeFi","376","₳92,517,979","₳33,100,666","YES","₳825,000","NOT FUNDED","₳472,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","High-Yield RWA on Cardano: Tokenized U.S. Real Estate","268","₳89,581,556","₳37,821,665","YES","₳750,000","NOT FUNDED","₳472,754","Over Budget"
"FALSE","Cardano Open: Developers","Rapid DEX: Mainnet-Ready, Batcher-Free & Advanced Features","193","₳83,408,493","₳8,886,713","YES","₳100,000","FUNDED","₳372,754",""
"FALSE","Cardano Use Cases: Partners & Products","Boosting USDM/USDA adoption with ""BUY NOW, PAY LATER"" loans.","246","₳82,798,817","₳29,546,381","YES","₳380,000","NOT FUNDED","₳372,754","Over Budget"
"FALSE","Cardano Open: Developers","Cexplorer: Mini Cardano Explorer for (not only) Local Usage","185","₳81,372,056","₳8,945,995","YES","₳98,000","FUNDED","₳274,754",""
"FALSE","Cardano Open: Developers","No Witness - Hydra Manager","269","₳79,670,134","₳7,102,105","YES","₳81,000","FUNDED","₳193,754",""
"FALSE","Cardano Open: Developers","SAP–Cardano OData V4 API with CAP & SAP-Cardano SDK","191","₳77,872,186","₳9,393,323","YES","₳85,000","FUNDED","₳108,754",""
"FALSE","Cardano Open: Developers","SAIB: Chrysalis.Plutus.Core - Parser & CEK Engine for .NET","200","₳75,937,849","₳10,881,675","YES","₳100,000","FUNDED","₳8,754",""
"FALSE","Cardano Open: Developers","K3 Labs and Waffle Capital | DeFi Agents on Cardano","146","₳73,409,823","₳13,435,373","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Ethereum to Cardano Multi-Asset Bridge Powered by Wormhole","315","₳72,496,419","₳27,331,322","YES","₳750,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","MLabs - Feesaswap: Decentralized Fee Trading on Cardano","239","₳72,279,672","₳26,434,952","YES","₳415,529","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","DPP - Compliant Onchain European Digital Product Passport","266","₳72,273,869","₳27,904,641","YES","₳499,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","1694.io - Open Source Governance Tooling & DRep Platform","252","₳71,390,258","₳31,922,629","YES","₳252,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Anvil - Weld: Massive Updates and Seamless Cardano for dApps","159","₳70,050,567","₳8,643,994","YES","₳79,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Real Estate Tokenization Powered by Cardano","312","₳69,955,131","₳25,852,652","YES","₳250,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Cometa.cpp: Cardano SDK for C++ with Full Conway Era Support","147","₳69,528,599","₳4,934,254","YES","₳60,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","AgriPass- Verified Identity, Trusted Agriculture.","284","₳69,364,838","₳24,807,793","YES","₳250,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Cardano Component UI Library [by Lido Nation]","155","₳68,843,538","₳9,237,507","YES","₳68,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Implement PLONK in Aiken (ZK) - Eryx","195","₳68,670,791","₳10,080,028","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Hypernative Real-Time Security for Cardano","177","₳67,566,737","₳28,750,448","YES","₳550,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","MLabs - CTL JavaScript / TypeScript Interface","244","₳67,084,199","₳2,672,898","YES","₳98,742","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Bind-friendly C Library for Ledger HW Cardano App","172","₳67,046,290","₳13,043,868","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","SAIB: Chrysalis.Network – Ouroboros Protocols for .NET","168","₳66,373,019","₳11,587,902","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","AI Agent to Break Barriers and Unlock Cardano DeFi Adoption","197","₳65,456,140","₳35,368,226","YES","₳700,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Clarity X Tempo: Cardano Governance Hub","266","₳64,968,877","₳35,571,772","YES","₳700,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Evolution 1 of Cardano Native Token Price Indexer in Kotlin","124","₳64,034,342","₳10,230,882","YES","₳81,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Elixir client for Ouroboros networking protocol","155","₳63,220,281","₳10,221,656","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","SAIB: Chrysalis.Plutus.SDK - Developer Tools & Integration","177","₳63,094,801","₳14,278,828","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Faster & Trusted Cardano Oracle, 98x Cheaper vs Chainlink","287","₳62,677,352","₳23,659,459","YES","₳590,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Aiken Integration on IntelliJ - Eryx","125","₳62,111,068","₳6,814,781","YES","₳90,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","Financial Inclusion for Unbanked Women via DID and Education","273","₳61,664,587","₳32,982,207","YES","₳636,800","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Multi-source Oracle Aggregation","177","₳61,626,151","₳10,188,725","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Use Cases: Partners & Products","ISO-Compliant Forest MRV - Satellite Oracle Extension","245","₳61,242,624","₳26,645,341","YES","₳250,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Anvil - CSL‑Lite: Modular Cardano Serialization Toolkit","148","₳60,882,762","₳8,907,243","YES","₳85,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Cometa.php: Cardano SDK for PHP with Full Conway Era Support","134","₳60,844,179","₳6,332,652","YES","₳60,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","Atlas PAB: Native Bitcoin (BTC) Integration Layer","259","₳60,281,973","₳7,896,283","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","High-Performance Cardano DEX Indexer — Rust + gRPC","204","₳59,375,932","₳6,602,876","YES","₳76,500","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","SAIB: Chrysalis.Tx – Advanced Transaction Building for .NET","133","₳58,315,178","₳11,102,485","YES","₳100,000","NOT FUNDED","₳8,754","Over Budget"
"FALSE","Cardano Open: Developers","MLabs: Path Analysis on Covenant","195","₳58,115,308","₳5,697,936","YES","₳99,861","NOT FUNDED","₳8,754","Over Budget"
