proposal_id,fund,year,title,challenge,pillar,pillar_name,subcategory,classification_confidence,classification_basis,currency,amount_requested,amount_received,funding_status,project_status,funded,delivered
f01-abcd,1,2020,ABCD,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,18000000.0,0,not_approved,unfunded,False,False
f01-ada-makerspace,1,2020,ADA MakerSpace,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,100000.0,100000.0,approved,funded,True,False
f01-afrofinlab-podcast,1,2020,AfroFinLab Podcast,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,110000.0,110000.0,approved,funded,True,False
f01-bicameralism-voting-mechanism,1,2020,Bicameralism Voting Mechanism,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-blockdapps-weekly-podcast,1,2020,BlockDApps weekly PODCAST,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,166666.0,0,not_approved,unfunded,False,False
f01-cardano-governance-multiverse,1,2020,Cardano Governance Multiverse,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-cardano-hub,1,2020,Cardano Hub,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,888888.0,0,not_approved,unfunded,False,False
f01-cardano-media-projects,1,2020,Cardano Media Projects,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,105839.0,0,not_approved,unfunded,False,False
f01-cardano-onboarding-consultants,1,2020,Cardano Onboarding Consultants,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-cardano-voter-media,1,2020,Cardano Voter Media,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-crypto-finance-podcast,1,2020,Crypto Finance Podcast,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,166666.0,0,not_approved,unfunded,False,False
f01-decentralised-clinical-trials,1,2020,Decentralised Clinical Trials,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-decentralized-event-tickets,1,2020,Decentralized event tickets,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-decentralized-gov-community-group,1,2020,Decentralized Gov. Community Group,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,550000.0,0,not_approved,unfunded,False,False
f01-decentralized-tiny-home-community,1,2020,Decentralized Tiny Home Community,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-decentralized-transcripts,1,2020,Decentralized Transcripts,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-direct-debit-contract-for-ada,1,2020,Direct Debit Contract for ADA,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-dream-weaver-thebusinessvalueofada,1,2020,Dream Weaver: TheBusinessValueofADA,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-epoch-women,1,2020,Epoch Women,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,100000.0,100000.0,approved,funded,True,False
f01-family-connect,1,2020,Family Connect,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,0.0,0,not_approved,unfunded,False,False
f01-fork-fund1-250k-fake-ada-into-real,1,2020,FORK fund1 $250k FAKE ADA into REAL,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,250000.0,0,not_approved,unfunded,False,False
f01-fox-gifts-fund-raising,1,2020,FOX Gifts & Fund Raising,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,250000.0,0,not_approved,unfunded,False,False
f01-fox-rewards,1,2020,FOX Rewards,,PX,Ambiguous / cross-pillar,ambiguous-or-cross-pillar,low,unresolved,USD,250000.0,0,not_approved,unfunded,False,False
