current_proposal_id,current_title,current_proposer_name,source,historical_project_id,historical_title,historical_status,similarity,confidence,rationale,source_url
69fd6321f9ebc26d057f51d7,Cardano app on Ledger maintained by Ledger Technologies SAS,Ledger Technologies SAS,Project Catalyst,f10-ledger-live-integration-maintenance-f10,Ledger Live Integration Maintenance,complete,0.19171859132056035,low,"Shared terms: community, integration, ledger, maintenance",https://www.catalystexplorer.com/en/proposals/ledger-live-integration-maintenance-f10
69f4457693fdcc8059d4cc18,Cardano Business Development Network: Accelerating Enterprise Adoption Through Coordinated BD Hubs ,Yoram Ben Zvi,Project Catalyst,f12-business-lead-generation-on-cardano-f12,Business Lead Generation on Cardano,complete,0.19649110686130408,low,"Shared terms: adoption, business, companies, lead, leads, need, network, pilot",https://www.catalystexplorer.com/en/proposals/business-lead-generation-on-cardano-f12
69fac66e89371182537b3096,"Cardano Content Creator Consortium (C4): Ecosystem Video Content Production, Marketing & Education",Cardano Content Creator Consortium (C4),Project Catalyst,f13-cardano-ecosystem-adoption-campaign-through-content-creators-amplification-f13,Cardano Ecosystem Adoption Campaign through content creators (Amplification),complete,0.1824379655886666,low,"Shared terms: campaign, campaigns, content, coverage, creator, creators, ecosystem, news",https://www.catalystexplorer.com/en/proposals/cardano-ecosystem-adoption-campaign-through-content-creators-amplification-f13
69fd6ef7f9ebc26d057f51d9,Clear signing of Cardano Top 5 dApps & Ledger Button integration,Ledger Technologies SAS,Project Catalyst,f09-ledger-live-integration-2-f9,Ledger Live Integration #2,complete,0.18647489696957617,low,"Shared terms: dapps, integration, ledger, secure",https://www.catalystexplorer.com/en/proposals/ledger-live-integration-2-f9
69f9ca0e4b815ecdc8d91a17,"Dolos by TxPipe: Maintaining Cardano's Lightweight Data Node, Year 2",TxPipe,Project Catalyst,f11-cardano-node-api-a-cardano-node-companion-written-in-go-f11,Cardano Node API: a Cardano Node companion written in Go,complete,0.19123638365971682,low,"Shared terms: community, compatibility, contract, data, dolos, driven, ecosystem, node",https://www.catalystexplorer.com/en/proposals/cardano-node-api-a-cardano-node-companion-written-in-go-f11
69fd0b20b05ff80adc7d5c55,Eryx: Zero-Knowledge Capabilities,Eryx,Project Catalyst,f11-cardano-privacy-layer-zero-knowledge-proof-based-membership-verification-and-anonymous-voting-signaling-poc-f11,Cardano Privacy Layer: Zero-Knowledge Proof-Based Membership Verification and Anonymous Voting & Signaling PoC.,complete,0.23044020773217705,medium,"Shared terms: anonymous, capabilities, ethereum, identity, layer, many, membership, privacy",https://www.catalystexplorer.com/en/proposals/cardano-privacy-layer-zero-knowledge-proof-based-membership-verification-and-anonymous-voting-signaling-poc-f11
69fd6b34f9ebc26d057f51d8,Full Integration of CIP-113 with Clear Signing across Ledger Products,Ledger Technologies SAS,Project Catalyst,f09-ledger-live-integration-2-f9,Ledger Live Integration #2,complete,0.23895330480487675,medium,"Shared terms: integration, ledger, live, products, secure",https://www.catalystexplorer.com/en/proposals/ledger-live-integration-2-f9
69fd6b34f9ebc26d057f51d8,Full Integration of CIP-113 with Clear Signing across Ledger Products,Ledger Technologies SAS,Project Catalyst,f10-message-signing-for-trezor-and-ledger-cip-8-cip30-f10,"Message signing for Trezor and Ledger (CIP-8, CIP30)",complete,0.2268304162754745,medium,"Shared terms: ecosystem, integration, ledger, products, signing, support, verify, wallet",https://www.catalystexplorer.com/en/proposals/message-signing-for-trezor-and-ledger-cip-8-cip30-f10
69fd6b34f9ebc26d057f51d8,Full Integration of CIP-113 with Clear Signing across Ledger Products,Ledger Technologies SAS,Project Catalyst,f10-ledger-live-integration-maintenance-f10,Ledger Live Integration Maintenance,complete,0.22378545625878787,medium,"Shared terms: integration, ledger, live, products",https://www.catalystexplorer.com/en/proposals/ledger-live-integration-maintenance-f10
69fd6b34f9ebc26d057f51d8,Full Integration of CIP-113 with Clear Signing across Ledger Products,Ledger Technologies SAS,Project Catalyst,f07-ledger-live-integration-f7,Ledger Live Integration,complete,0.1929441552753664,low,"Shared terms: ecosystem, enabling, integration, ledger, live, support, their, users",https://www.catalystexplorer.com/en/proposals/ledger-live-integration-f7
69e8b481b637aef81b4fadd7,Hardware Wallet Maintenance 2026,VacuumLabs ,Project Catalyst,f10-message-signing-for-trezor-and-ledger-cip-8-cip30-f10,"Message signing for Trezor and Ledger (CIP-8, CIP30)",complete,0.19395268988361242,low,"Shared terms: cardano-hw-cli, dapp, ecosystem, firmware, integration, integrations, layer, ledger",https://www.catalystexplorer.com/en/proposals/message-signing-for-trezor-and-ledger-cip-8-cip30-f10
69fc770b8a0de51b89857e17,High-performance Rust Ogmios Client,WingRiders Ltd.,Project Catalyst,f13-koios-rust-client-library-f13,Koios Rust Client Library,complete,0.19611918646641868,low,"Shared terms: applications, client, data, developers, efficient, efficiently, integration, library",https://www.catalystexplorer.com/en/proposals/koios-rust-client-library-f13
69fc770b8a0de51b89857e17,High-performance Rust Ogmios Client,WingRiders Ltd.,Project Catalyst,f09-kogmios-open-source-docdevsupport-f9,Kogmios Open Source Doc/Dev/Support,complete,0.1933876655413676,low,"Shared terms: developer, directly, ecosystem, high-performance, interact, library, mini-protocols, ogmios",https://www.catalystexplorer.com/en/proposals/kogmios-open-source-docdevsupport-f9
69fc8e0989371182537b30a3,"MLabs - Cardano Tx Library: JavaScript/TypeScript Interface, Koios Backend, Hard Fork Maintenance",MLabs LTD,Project Catalyst,f09-mlabs-ctl-blockfrost-backend-f9,MLabs - CTL Blockfrost Backend,complete,0.20772125364261265,medium,"Shared terms: backend, been, blockfrost, ctl, developers, first, has, iog",https://www.catalystexplorer.com/en/proposals/mlabs-ctl-blockfrost-backend-f9
69fc919e8a0de51b89857e19,MLabs - TrueInventory: An accessible blockchain inventory for videogame developers,MLabs LTD,Project Catalyst,f10-mlabs-cardano-game-engine-wallet-godot-integration-f10,MLabs – Cardano Game Engine Wallet - Godot Integration,complete,0.2680836752538616,medium,"Shared terms: blockchain, current, developers, ecosystem, engine, engines, game, games",https://www.catalystexplorer.com/en/proposals/mlabs-cardano-game-engine-wallet-godot-integration-f10
69fc919e8a0de51b89857e19,MLabs - TrueInventory: An accessible blockchain inventory for videogame developers,MLabs LTD,Project Catalyst,f09-milkomeda-game-2-f9,Milkomeda Game #2,complete,0.19625300568244927,low,"Shared terms: actually, blockchain, game, games, make, more, most, on-chain",https://www.catalystexplorer.com/en/proposals/milkomeda-game-2-f9
69fc919e8a0de51b89857e19,MLabs - TrueInventory: An accessible blockchain inventory for videogame developers,MLabs LTD,Project Catalyst,f07-cardano-games-assets-for-unity-f7,Cardano games assets for Unity,complete,0.1891617288523393,low,"Shared terms: blockchain, developers, engine, game, games, that, unity, will",https://www.catalystexplorer.com/en/proposals/cardano-games-assets-for-unity-f7
69f8c6dec9c351b28aa8d7b8,"Pallas by TxPipe: Maintaining Cardano's Core Rust Libraries, Year 2",TxPipe,Project Catalyst,f10-pallas-open-source-maintainer-f10,Pallas - Open-source maintainer,complete,0.22996633371320221,medium,"Shared terms: collection, com, date, ecosystem, https, maintainer, months, open-source",https://www.catalystexplorer.com/en/proposals/pallas-open-source-maintainer-f10
