"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Bifrost: Bitcoin-Cardano bridge secured by Cardano SPOs","585","₳256,533,420","₳28,590,646","YES","₳739,000","FUNDED","₳7,761,000",""
"Cardano’s First End-to-End Metal and Minerals RWA Ecosystem","522","₳227,210,108","₳27,063,893","YES","₳550,000","FUNDED","₳7,211,000",""
"Leverage Trading with Market/Limit Orders on Minswap","388","₳207,222,198","₳33,438,489","YES","₳604,700","FUNDED","₳6,606,300",""
"CHARLI3 Open Source Oracle Marketplace and Launchpad","413","₳203,783,429","₳27,675,603","YES","₳595,000","FUNDED","₳6,011,300",""
"Indigo V3 – CNT-Backed Collateral for Indigo CDPs","388","₳181,665,536","₳30,010,282","YES","₳550,000","FUNDED","₳5,461,300",""
"IndianChain: Indian Government's 10M+ Settlements on Cardano","458","₳181,461,627","₳32,378,776","YES","₳570,000","FUNDED","₳4,891,300",""
"Bringing Multi-Chain Users From Ctrl Wallet Into Cardano","216","₳174,410,347","₳26,379,476","YES","₳475,000","FUNDED","₳4,416,300",""
"Cardano Corporate PoC Lab - Japan (powered by Antler Ibex)","250","₳161,335,498","₳39,699,936","YES","₳770,000","FUNDED","₳3,646,300",""
"AIRA : Hydra Loyalty & Crypto for Regional Revitalization","442","₳155,811,607","₳44,359,102","YES","₳698,000","FUNDED","₳2,948,300",""
"Masumi AI Agent Network 2.0 by Serviceplan Group","479","₳153,082,714","₳36,751,321","YES","₳900,000","FUNDED","₳2,048,300",""
"Real World Adoption: Cardano Payments in Vending Machines","362","₳143,709,738","₳37,339,751","YES","₳750,000","FUNDED","₳1,298,300",""
"Onboard 50,000 Nigerian Farmers for Compliant Traceability","511","₳124,600,229","₳44,219,214","YES","₳650,000","FUNDED","₳648,300",""
"SNEKbot + SundaeLabs: Non-custodial Trading using Strategies","403","₳122,080,530","₳35,158,011","YES","₳420,000","FUNDED","₳228,300",""
"Ledger Live DRep Delegation Support","351","₳119,347,438","₳28,933,782","YES","₳260,000","NOT FUNDED","₳228,300","Over Budget"
"Japanese government funded: AI chat platform with Fujitsu","390","₳117,276,301","₳39,534,431","YES","₳600,000","NOT FUNDED","₳228,300","Over Budget"
"VESPR Keyless: Self-Custody Without Seed Phrases","322","₳116,465,487","₳34,955,104","YES","₳250,000","NOT FUNDED","₳228,300","Over Budget"
"Stable + Cardano: fast and feeless USDT interopability","373","₳116,128,252","₳25,762,674","YES","₳300,000","NOT FUNDED","₳228,300","Over Budget"
"Onchain analytics for the Cardano ecosystem","249","₳116,107,515","₳29,131,421","YES","₳406,666","NOT FUNDED","₳228,300","Over Budget"
"NuNet: Hydra-Powered Micropayments for DePIN","399","₳115,560,067","₳35,999,789","YES","₳1,000,000","NOT FUNDED","₳228,300","Over Budget"
"Typhon Wallet - Secure Multi-Signature Support","233","₳114,992,789","₳28,229,725","YES","₳250,000","NOT FUNDED","₳228,300","Over Budget"
"USDC + USDT perps on Cardano: extend Strike for multi-chain","363","₳114,872,427","₳25,243,374","YES","₳250,000","NOT FUNDED","₳228,300","Over Budget"
"Cardanoscan Upgrade V3: Real-Time, Personal & More Analytics","366","₳103,956,612","₳27,335,613","YES","₳250,000","NOT FUNDED","₳228,300","Over Budget"
"VESPR x DexHunter: Stable-Swaps Aggregation 💱","338","₳98,562,561","₳26,658,376","YES","₳250,000","NOT FUNDED","₳228,300","Over Budget"
"Strike Finance <> Bodega Market: Predection Market Perps","301","₳97,342,190","₳29,270,331","YES","₳506,000","NOT FUNDED","₳228,300","Over Budget"
"Cardano Institutional UX Stack: Compliance & BTC-Ready DeFi","376","₳92,517,979","₳33,100,666","YES","₳825,000","NOT FUNDED","₳228,300","Over Budget"
"Cardano cross-chain swaps with 25+ blockchains","297","₳89,865,764","₳20,677,462","YES","₳250,000","NOT FUNDED","₳228,300","Over Budget"
"High-Yield RWA on Cardano: Tokenized U.S. Real Estate","268","₳89,581,556","₳37,821,665","YES","₳750,000","NOT FUNDED","₳228,300","Over Budget"
"VESPR: Mobile Governance - Activating 100M+ ADA","318","₳88,244,645","₳29,237,498","YES","₳250,000","NOT FUNDED","₳228,300","Over Budget"
"Boosting USDM/USDA adoption with ""BUY NOW, PAY LATER"" loans.","246","₳82,798,817","₳29,546,381","YES","₳380,000","NOT FUNDED","₳228,300","Over Budget"
"Ethereum to Cardano Multi-Asset Bridge Powered by Wormhole","315","₳72,496,419","₳27,331,322","YES","₳750,000","NOT FUNDED","₳228,300","Over Budget"
"MLabs - Feesaswap: Decentralized Fee Trading on Cardano","239","₳72,279,672","₳26,434,952","YES","₳415,529","NOT FUNDED","₳228,300","Over Budget"
"DPP - Compliant Onchain European Digital Product Passport","266","₳72,273,869","₳27,904,641","YES","₳499,000","NOT FUNDED","₳228,300","Over Budget"
"1694.io - Open Source Governance Tooling & DRep Platform","252","₳71,390,258","₳31,922,629","YES","₳252,000","NOT FUNDED","₳228,300","Over Budget"
"Real Estate Tokenization Powered by Cardano","312","₳69,955,131","₳25,852,652","YES","₳250,000","NOT FUNDED","₳228,300","Over Budget"
"AgriPass- Verified Identity, Trusted Agriculture.","284","₳69,364,838","₳24,807,793","YES","₳250,000","NOT FUNDED","₳228,300","Over Budget"
"Hypernative Real-Time Security for Cardano","177","₳67,566,737","₳28,750,448","YES","₳550,000","NOT FUNDED","₳228,300","Over Budget"
"Launching the Frax Stablecoin & DeFi Ecosystem on Cardano","202","₳66,316,563","₳35,891,255","YES","₳850,000","NOT FUNDED","₳228,300","Over Budget"
"AI Agent to Break Barriers and Unlock Cardano DeFi Adoption","197","₳65,456,140","₳35,368,226","YES","₳700,000","NOT FUNDED","₳228,300","Over Budget"
